,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
beganneft,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,7,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
lau,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malochen,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaskeln,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,1,2,,,,,,,11,1,1,,,,,,,,,,,,,,,,,,1,,,,,
Schores,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,1,1,,2,,,8,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
